Degree,Training_MSE,Test_MSE,Bias_squared,Variance,Expected_Error
1,0.24871122629391443,0.2506346200198816,0.20101068226382324,0.021319820462454446,0.26233050272627767
2,0.248705602714448,0.25058449235059005,0.20284853382607398,0.06351789588464869,0.3063664297107227
3,0.026304739273631764,0.043251849363529264,0.004802243810157314,0.008976003771534354,0.053778247581691675
4,0.025981191324860643,0.04218431329986197,0.005799399493153172,0.019913838471162734,0.06571323796431591
5,0.025898391372268747,0.04024623257954764,0.0007111749530993383,0.04130760045814485,0.0820187754112442
6,0.02569290198942957,0.03424872713265085,0.00046924733081714224,0.03041718074895612,0.07088642807977327
7,0.02471942276431686,0.04213928518588523,0.0012334487005453572,0.061183159512767434,0.1024166082133128
8,0.024354662991314602,0.04523936202858578,8.9626293235542e-05,0.2467264730466699,0.28681609933990543
9,0.023838779022559656,0.049340424836729284,0.001510571137672391,0.6973492166539939,0.7388597877916663
10,0.023239980407908725,0.05462499418954921,0.007058793736633551,0.6417755266238199,0.6888343203604534
11,0.021546174310116573,0.07688119450107579,0.0027640438418612195,0.5157483662428604,0.5585124100847216
12,0.021930035778939646,0.07457785571680697,0.014828642361161487,5.046167235297229,5.100995877658391
13,0.022183070393137157,0.07230728652332773,0.0018948038918542582,8.55819641480316,8.600091218695013
14,0.022312534286471952,0.07015308219862434,0.5245378261517855,63.5885462755002,64.15308410165198
15,0.022337635788637247,0.06813824698951647,0.03838689653523636,64.43649212477452,64.51487902130977
